rank,title,author,publisher
1,설민석의 한국사 대모험 9, 설민석,아이휴먼
2,공부머리 독서법, 최승필,책구루
3,철학은 어떻게 삶의 무기가 되는가, 야마구치 슈,다산초당
4,고요할수록 밝아지는 것들, 혜민,수오서재
5,에어프라이어 만능 레시피북, 강지현,엔트리
6,선재국어 나침판 실전 모의고사 vol. 1, 이선재,에스티유니타스
7,아주 작은 습관의 힘, 제임스 클리어,비즈니스북스
8,해커스 토익 기출 보카, David Cho,해커스어학연구소
9,말센스, 셀레스트 헤들리,스몰빅라이프
10,우린 너무 몰랐다, 김용옥,통나무
11,나는 나로 살기로 했다, 김수현,마음의숲
12,인어가 잠든 집, 히가시노 게이고,재인
13,댄 애리얼리 부의 감각, 댄 애리얼리,청림출판
14,ETS 토익 정기시험 기출문제집 1000 READING, ETS,YBM
15,이동기 영어 실전동형 모의고사 1, 이동기,에스티유니타스
16,ETS 토익 정기시험 기출문제집 1000 LISTENING, ETS,YBM
17,꽃을 보듯 너를 본다, 나태주,지혜
18,스즈키 바이올린 교본 1, 세광음악 편집부,세광음악출판사
19,아이를 위한 하루 한 줄 인문학, 김종원,청림라이프
20,시나공 정보처리기사 실기, 한기준,길벗
21,수미네 반찬, 김수미,성안당
22,이동기 영어 기적의 특강, 이동기,에스티유니타스
23,던전에서 만남을 추구하면 안 되는 걸까 14, 오모리 후지노,소미미디어
24,해커스 토익 스타트 리딩(RC) (신토익 Edition), David Cho,해커스어학연구소
25,만복이네 떡집, 김리리,비룡소
